hid,name,year_qtr,start_date,end_date,hstatus,county_name,service_area,planning_area,type_cntrl,type_hosp,phone,address,city,zip_code,ceo,lic_beds,avl_beds,stf_beds,dis_medicare_tradicional,dis_medicare_care,dis_medi_tradicional,dis_medi_care,day_medicare_tradicional,day_medicare_care,day_medi_tradicional,day_medi_care,vis_medicare_tradicional,vis_medicare_care,vis_medi_tradicional,vis_medi_care,grip_medicare_tradicional,grip_medicare_care,grip_medi_tradicional,grip_medi_care,grop_medicare_tradicional,grop_medicare_care,grop_medi_tradicional,grop_medi_care,operational_expenses,professional_expenses
106190150,KEDREN COMMUNITY MENTAL HEALTH CENTER,20184,2018-10-01,2018-12-31,Open,Los Angeles,11 - Los Angeles,935,Non Profit Corp.,Comparable,323-233-0425,4211 AVALON BOULEVARD,LOS ANGELES,90011,"JOHN H. GRIFFITH, PHD",72,72,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8773524,0
106124004,SEMPERVIRENS - PHF,20182,2018-04-01,2018-06-30,Open,Humboldt,01 - Northern California,105,City/County,Psychiatric Health Facilities,707-445-7710,720 WOOD STREET,EUREKA,95501,EMI BOTZLER-RODGERS,16,16,16,41,0,0,0,319,0,0,0,0,0,0,0,545012,0,0,0,0,0,0,0,1796930,263926
106190176,CITY OF HOPE HELFORD CLINICAL RESEARCH HOSPITAL,20173,2017-07-01,2017-09-30,Open,Los Angeles,11,913,Non Profit Corp.,Comparable,(626) 256-4673,1500 DUARTE ROAD,DUARTE,91010,ROBERT STONE,217,217,217,627,26,191,110,5630,170,2483,1197,16722,676,3303,2338,106889878,3841749,68303106,20891761,205221045,7089595,31310988,30008171,278992527,0
106331164,DESERT REGIONAL MEDICAL CENTER,20171,2017-01-01,2017-03-31,Open,Riverside,12,1105,Investor - Corp.,Comparable,(760) 323-6511,1150 NORTH INDIAN CANYON DRIVE,PALM SPRINGS,92262,CAROLYN CALDWELL,385,351,275,984,1238,544,1061,5540,5330,4084,4195,8221,4909,3867,12990,141338640,143571130,91312365,108504166,67494377,43653140,26257623,72431223,115885197,0
106361768,PATTON STATE HOSPITAL,20184,2018-10-01,2018-12-31,Open,San Bernardino,12 - Inland Counties,1209,State,State Hospitals,909-425-7321,3102 E. HIGHLAND AVENUE,PATTON,92369,WILLIAM SUMMERS,1287,1527,1527,18,0,0,0,20606,0,0,0,0,0,0,0,11016726,0,0,0,0,0,0,0,85661329,0
106514001,SUTTER - YUBA - PHF,20173,2017-07-01,2017-09-30,Open,Sutter,2,227,City/County,Psychiatric Health Facilities,(530) 822-7200,1965 LIVE OAK BOULEVARD,YUBA CITY,95991,"TONY HOBSON, PHD",16,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1002209,0
106191230,"MARTIN LUTHER KING, JR. COMMUNITY HOSPITAL",20164,2016-10-01,2016-12-31,Open,Los Angeles,11,935,Non Profit Corp.,Comparable,(424) 338-8000,1680 EAST 120TH STREET,LOS ANGELES,90059,ELAINE BATCHLOR,131,126,126,333,142,525,825,1271,517,1943,3014,1066,660,5019,9175,45555915,23247207,62689772,103225492,12859384,9032563,60250513,97723309,55949795,0
106301566,ORANGE COUNTY GLOBAL MEDICAL CENTER,20192,2019-04-01,2019-06-30,Open,Orange,13 - Orange,1015,Investor - Corp.,Comparable,714-835-3555,1001 NORTH TUSTIN AVENUE,SANTA ANA,92705,PETER BARONOFF,228,228,228,372,249,343,571,3767,1351,1655,2218,676,781,1453,3496,38460398,21949216,25481365,36871714,4752587,7057883,7857058,20990677,47988606,1392431
106361274,KINDRED HOSPITAL - ONTARIO,20183,2018-07-01,2018-09-30,Open,San Bernardino,12 - Inland Counties,1207,Investor - Corp.,Comparable,909-391-0333,550 NORTH MONTEREY AVENUE,ONTARIO,91764,NATALIE MERCKENS,91,91,91,54,12,0,46,1841,506,0,2353,0,0,0,0,18582708,5703990,0,22508744,0,0,0,0,9598744,0
106420491,LOMPOC VALLEY MEDICAL CENTER,20182,2018-04-01,2018-06-30,Open,Santa Barbara,10 - Santa Barbara/Ventura,805,District,Comparable,805-737-3300,1515 E. OCEAN AVENUE,LOMPOC,93436,JAMES RAGGIO,170,170,170,245,25,29,162,1421,173,183,6207,4952,271,494,5272,6003093,661286,607663,4778766,10043267,809909,849806,7499701,22656687,0
