hid,name,year_qtr,start_date,end_date,hstatus,county_name,service_area,planning_area,type_cntrl,type_hosp,phone,address,city,zip_code,ceo,lic_beds,avl_beds,stf_beds,dis_medicare_tradicional,dis_medicare_care,dis_medi_tradicional,dis_medi_care,day_medicare_tradicional,day_medicare_care,day_medi_tradicional,day_medi_care,vis_medicare_tradicional,vis_medicare_care,vis_medi_tradicional,vis_medi_care,grip_medicare_tradicional,grip_medicare_care,grip_medi_tradicional,grip_medi_care,grop_medicare_tradicional,grop_medicare_care,grop_medi_tradicional,grop_medi_care,operational_expenses,professional_expenses
106304460,HOAG ORTHOPEDIC INSTITUTE,20193,7/1/19,9/30/19,Open,Orange,13 - Orange,1016,Investor - Ptnr.,Comparable,949-517-3149,16250 SAND CANYON AVENUE,IRVINE,92618,JENNIFER MITZNER,70,70,23,534,127,0,1,965,239,0,2,96,43,0,1,46460587,11138748,0,13638,4698249,1775316,0,19123,25260779,0
106104047,FRESNO SURGICAL HOSPITAL,20194,10/1/19,12/31/19,,Fresno,09 - Central,605,Investor - Ptnr.,Comparable,559-431-8000,6125 NORTH FRESNO STREET,FRESNO,93710,KRISTINE KASSAHN,27,27,27,192,47,0,6,401,93,0,11,1705,421,27,519,11845901,2495653,0,257017,18844783,4705001,152722,5666913,19536293,0
106554011,ADVENTIST HEALTH SONORA - GREENLEY,20174,10/1/17,12/31/17,Open,Tuolumne,6,513,Church,Comparable,209-536-5000,1000 GREENLEY ROAD,SONORA,95370,MICHELLE FUENTES,152,152,117,623,29,26,185,2616,127,5983,699,49228,2050,4302,16992,46072278,2231309,4112991,12297683,79005882,3821085,4203507,22905408,54717601,0
106190197,COMMUNITY HOSPITAL OF HUNTINGTON PARK,20202,4/1/20,6/30/20,OPEN,Los Angeles,11 - Los Angeles,923,Investor - Corp.,Comparable,310-532-4200,2623 EAST SLAUSON AVENUE,HUNTINGTON PARK,90255,ARACELI LONERGAN,81,81,81,107,98,198,179,655,650,1129,850,272,328,1546,2687,11165953,11206573,16472707,13228463,2270660,2423663,8194968,12615371,12126263,0
106301279,UNIVERSITY OF CALIFORNIA IRVINE MEDICAL CENTER,20184,10/1/18,12/31/18,Open,Orange,13 - Orange,1015,Non Profit Other,Comparable,714-456-7890,101 CITY DRIVE SOUTH,ORANGE,92868,TERRY BELMONT,417,417,417,1181,607,714,1318,6554,3187,7015,6749,43176,11098,5993,30232,139367623,71378021,107346476,144899474,123371849,38681024,15467485,81725493,294927644,0
106454068,RESTPADD PSYCHIATRIC HEALTH FACILITY,20171,1/1/17,3/31/17,Open,Shasta,1,209,Investor - Corp.,Psychiatric Health Facilities,(530) 262-6700,2750 EUREKA WAY,REDDING,96001,O. NWANGBURUKA,16,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1006345,0
106392232,ST. JOSEPH'S BEHAVIORAL HEALTH CENTER,20181,1/1/18,3/31/18,Open,San Joaquin,6,507,Non Profit Corp.,Comparable,209-461-2000,2510 NORTH CALIFORNIA STREET,STOCKTON,95204,PAUL RAINS,35,35,35,201,74,0,0,1613,440,0,0,289,111,0,0,4522280,1218838,0,0,137628,51723,0,0,4738943,35098
106190521,MEMORIAL HOSPITAL - GARDENA,20182,4/1/18,6/30/18,Open,Los Angeles,11 - Los Angeles,929,Investor - Corp.,Comparable,310-532-4200,1145 W. REDONDO BEACH BOULEVARD.,GARDENA,90247,ARACELI LONERGAN,172,172,149,417,137,215,655,1646,541,806,2296,654,541,1223,4718,29415504,10854482,18301358,57972007,3728747,6171177,5008448,21805008,24119826,0
106190468,PROMISE HOSPITAL OF EAST LOS ANGELES,20171,1/1/17,3/31/17,Open,Los Angeles,11,925,Investor - Corp.,Comparable,(562) 531-3110,443 SOUTH SOTO STREET,LOS ANGELES,90033,MICHAEL CHOO,213,213,179,366,13,1,13,7869,347,365,672,5,0,0,0,63799999,3639666,1163493,5512478,23403,0,0,0,21094451,0
106301357,FOOTHILL REGIONAL MEDICAL CENTER,20164,10/1/16,12/31/16,Open,Orange,13,1015,Investor - Corp.,Comparable,(714) 619-7700,14662 NEWPORT AVENUE,TUSTIN,92780,DAVID TOPPER,177,177,52,129,212,1,144,558,693,777,2379,19,152,0,108,7386439,12549495,5898003,24400365,383702,2185888,0,1832364,15853590,0
106434138,ST. LOUISE REGIONAL HOSPITAL,20184,10/1/18,12/31/18,Open,Santa Clara,07 - Santa Clara,433,Non Profit Corp.,Comparable,408-848-2000,9400 NO NAME UNO,GILROY,95020,SR. MARGARET KEAVENEY,93,72,25,207,47,84,154,856,182,290,448,2707,440,1297,3495,22393365,5045515,6767617,9611025,15940997,3017909,7774938,16019563,25107573,0
106150736,KERN MEDICAL CENTER,20182,4/1/18,6/30/18,Open,Kern,09 - Central,617,City/County,Comparable,661-326-2000,1700 MOUNT VERNON AVENUE,BAKERSFIELD,93306,RUSSELL JUDD,222,204,155,244,44,691,1068,1407,226,5183,3238,4436,892,22571,12887,13778214,2837722,40085694,40495342,7189314,1808047,45325534,29744442,93454941,0
106300225,ORANGE COAST MEMORIAL MEDICAL CENTER,20172,4/1/17,6/30/17,Open,Orange,13,1014,Non Profit Corp.,Comparable,(714) 962-4677,9920 TALBERT AVENUE,FOUNTAIN VALLEY,92708,MARCIA MANKER,218,218,117,599,706,60,445,2498,2523,215,1424,3602,5339,475,5139,43316396,49799584,2945727,24863647,20568046,24817607,1072718,19539106,72345711,0
106310791,SUTTER AUBURN FAITH HOSPITAL,20201,1/1/20,3/31/20,OPEN,Placer,02 - Golden Empire,308,Non Profit Corp.,Comparable,530-888-4500,11815 EDUCATION STREET,AUBURN,95602,MITCH HANNA,64,64,40,465,179,34,92,1634,613,142,309,9984,1178,714,1912,29873839,10682267,2403431,5290846,36153466,13725529,3024272,8590024,42303927,0
106190150,KEDREN COMMUNITY MENTAL HEALTH CENTER,20172,4/1/17,6/30/17,Open,Los Angeles,11,935,Non Profit Corp.,Comparable,(323) 233-0425,4211 AVALON BOULEVARD,LOS ANGELES,90011,"JOHN H. GRIFFITH, PHD",72,72,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8225816,0
106010776,CHILDREN'S HOSPITAL AND RESEARCH CENTER AT OAKLAND,20164,10/1/16,12/31/16,Open,Alameda,5,417,Non Profit Corp.,Comparable,(510) 428-3885,747 52ND STREET,OAKLAND,94609,BERTRAM LUBIN,190,190,190,4,0,912,767,33,0,5264,2481,197,0,15825,31602,385454,0,88526478,32099741,1754270,0,33969078,46108802,155775000,0
106130760,PIONEERS MEMORIAL HEALTHCARE DISTRICT,20184,10/1/18,12/31/18,Open,Imperial,14 - San Diego/Imperial,1424,District,Comparable,760-351-3333,207 WEST LEGION ROAD,BRAWLEY,92227,LAWRENCE LEWIS,107,107,91,304,56,125,500,1448,243,392,1497,10259,1268,1765,22998,12427090,2506165,2734414,11794214,19109248,2946803,3093123,28241581,32376945,3051295
106394009,KAISER FOUNDATION HOSPITAL - MANTECA,20181,1/1/18,3/31/18,Open,San Joaquin,6,507,Non Profit Corp.,Kaiser Foundation Health,510-987-3380,1777 WEST YOSEMITE AVENUE,MANTECA,95337,JANET LIANG,251,251,110,94,1025,13,99,409,3743,66,288,407,10087,525,3711,0,0,0,0,0,0,0,0,129887650,0
106190534,OLYMPIA MEDICAL CENTER,20194,10/1/19,12/31/19,OPEN,Los Angeles,11 - Los Angeles,925,Investor - Corp.,Comparable,310-657-5900,5900 WEST OLYMPIC BLVD,LOS ANGELES,90036,MATTHEW WILLIAMS,204,204,66,485,96,122,173,2829,664,534,1328,1732,466,415,2327,42290727,9648679,8875001,21777163,9874044,2648003,2438418,12397045,17931200,0
106121031,JEROLD PHELPS COMMUNITY HOSPITAL,20202,4/1/20,6/30/20,OPEN,Humboldt,01 - Northern California,109,District,Comparable,707-923-3921,733 CEDAR STREET,GARBERVILLE,95542,MATT REES,17,17,17,6,0,2,4,127,0,31,685,1139,34,52,721,193499,0,50629,405281,745588,12593,154349,740655,3362213,0
106374094,VIBRA HOSPITAL OF SAN DIEGO,20164,10/1/16,12/31/16,Open,San Diego,14,1418,Investor - Corp.,Comparable,(619) 260-8300,555 WASHINGTON STREET,SAN DIEGO,92103,YAMEEKA JONES,110,110,110,122,27,0,35,2626,931,13,1200,237,24,0,254,30385058,7848984,133840,9477496,220032,25594,0,237916,9003373,0
106014233,EDEN MEDICAL CENTER,20182,4/1/18,6/30/18,Open,Alameda,05 - East Bay,421,Non Profit Corp.,Comparable,415-600-6000,20103 LAKE CHABOT ROAD,CASTRO VALLEY,94546,TERRY GLUBKA,130,130,115,853,248,193,407,3687,998,808,1782,2308,559,613,3618,74860277,21907894,16077312,36251694,28146478,9310661,4211310,23481821,81052229,0
106191216,USC KENNETH NORRIS JR. CANCER HOSPITAL,20182,4/1/18,6/30/18,Open,Los Angeles,11 - Los Angeles,925,Non Profit Corp.,Comparable,323-865-3000,1441 EASTLAKE AVENUE,LOS ANGELES,90089,RICHARD PINEDA,60,60,41,125,39,51,66,883,363,654,749,14411,2272,1779,1926,10416150,4622537,7847734,7856827,77185297,11480681,10661925,10647140,53577631,0
106190525,LONG BEACH MEMORIAL MEDICAL CENTER,20174,10/1/17,12/31/17,Open,Los Angeles,11,933,Non Profit Corp.,Comparable,562-933-2000,2801 ATLANTIC AVENUE,LONG BEACH,90806,JOHN BISHOP,453,453,306,1460,859,377,1140,8330,4293,2152,5452,9263,4150,4962,15704,116625996,79228236,28999805,92993638,42308664,21041124,20072541,49717564,163058269,0
106210993,KENTFIELD HOSPITAL,20181,1/1/18,3/31/18,Open,Marin,4,405,Investor - Corp.,Comparable,415-456-9680,1125 SIR FRANCIS DRAKE BOULEVARD,KENTFIELD,94904,ANN GORS,120,100,100,49,10,1,19,2661,761,126,2281,2180,281,0,0,12761067,3375009,2432098,5514282,516642,49492,0,0,13430843,0
106190280,ENCINO HOSPITAL MEDICAL CENTER,20164,10/1/16,12/31/16,Open,Los Angeles,11,905,Investor - Corp.,Comparable,(818) 501-0434,16237 VENTURA BOULEVARD,ENCINO,91436,BOCKHI PARK,148,148,148,331,45,24,88,2230,353,832,1273,304,157,208,856,19353585,2127608,5782481,9925547,1874119,957548,880191,3085879,12873337,0
106370730,KAISER FOUNDATION HOSPITAL - SAN DIEGO,20182,4/1/18,6/30/18,Open,San Diego,14 - San Diego/Imperial,1416,Non Profit Corp.,Kaiser Foundation Health,626-405-5000,4647 ZION AVENUE,SAN DIEGO,92120,JULIE MILLER-PHIPPS,556,556,263,170,2541,45,342,642,9859,257,1279,485,16220,456,4718,0,0,0,0,0,0,0,0,246405893,0
106374055,SAN DIEGO COUNTY PSYCHIATRIC HOSPITAL,20182,4/1/18,6/30/18,Open,San Diego,14 - San Diego/Imperial,1418,City/County,Hospital-LTC Emphasis,619-692-8232,3853 ROSECRANS STREET,SAN DIEGO,92110,IZABELA KARMACH,301,301,248,4,0,21,0,8,0,15687,0,566,0,4297,0,8179,0,3683612,0,108622,0,825108,0,55398163,0
106330120,THE BETTY FORD CENTER,20183,7/1/18,9/30/18,Open,Riverside,12 - Inland Counties,1105,Non Profit Corp.,Comparable,760-773-4100,39000 BOB HOPE DRIVE,RANCHO MIRAGE,92270,CHRISTOPHER YADRON,100,100,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4690729,0
106190673,SAN DIMAS COMMUNITY HOSPITAL,20172,4/1/17,6/30/17,Open,Los Angeles,11,917,Investor - Corp.,Comparable,(909) 599-6811,1350 WEST COVINA BOULEVARD,SAN DIMAS,91773,KURT WEINMEISTER,101,101,36,261,227,39,128,1148,673,145,431,521,523,365,1463,11804778,8468599,1523087,4248197,2914492,3516192,1262597,5361009,13807608,0
106190631,PRESBYTERIAN INTERCOMMUNITY HOSPITAL,20181,1/1/18,3/31/18,Open,Los Angeles,11,919,Non Profit Corp.,Comparable,562-698-0811,12401 WASHINGTON BOULEVARD,WHITTIER,90602,JIM WEST,547,547,240,1094,1520,342,484,6311,6806,1504,1829,20222,16733,2833,8714,117936101,164360035,37918755,44159252,75319571,140747545,13415320,40168393,133714665,7104753
106341051,SUTTER MEDICAL CENTER - SACRAMENTO,20171,1/1/17,3/31/17,Open,Sacramento,2,311,Non Profit Corp.,Comparable,(916) 454-3333,2825 CAPITOL AVENUE,SACRAMENTO,95816,CARRIE OWEN PLIETZ,523,523,453,1815,656,722,2045,9383,3611,3261,7488,12751,3275,3685,16935,187361655,63141656,48744349,121577665,81345725,24812186,12423606,64066202,188645257,0
106350784,HAZEL HAWKINS MEMORIAL HOSPITAL,20164,10/1/16,12/31/16,Open,San Benito,8,701,District,Comparable,(831) 637-5711,911 SUNSET DRIVE,HOLLISTER,95023,KEN UNDERWOOD,181,162,126,240,11,129,85,1726,54,8158,224,10478,482,10700,5444,11660951,553692,8213816,3720525,18478458,963630,12763183,8175027,28996495,2910120
106331312,RIVERSIDE COMMUNITY HOSPITAL,20193,7/1/19,9/30/19,Open,Riverside,12 - Inland Counties,1111,Investor - Ptnr.,Comparable,951-788-3000,4445 MAGNOLIA AVENUE,RIVERSIDE,92501,JACKIE D. VAN BLARICUM,478,478,478,1115,1295,611,1773,7373,7445,3721,7261,3970,5351,2436,13633,214524374,270138160,90052189,207594420,50065952,100498149,19314302,128160396,113004056,7145417
106304159,HEALTHBRIDGE CHILDREN'S HOSPITAL - ORANGE,20192,4/1/19,6/30/19,Open,Orange,13 - Orange,1015,Investor - Ptnr.,Comparable,714-289-2400,393 S. TUSTIN STREET,ORANGE,92866,ROBERTA CONSOLVER,27,27,27,0,0,10,3,0,0,881,807,0,0,0,16,0,0,4879603,5039436,0,0,0,7611,2362157,0
106580996,ADVENTIST HEALTH RIDEOUT,20184,10/1/18,12/31/18,Open,Yuba,02 - Golden Empire,227,Non Profit Corp.,Comparable,530-749-4663,726 FOURTH STREET,MARYSVILLE,95901,RICK RAWSON,221,221,146,1361,29,250,754,7236,209,866,2785,21553,455,2278,11869,108501219,3333419,13802085,40253151,66910147,1409893,7094661,37033371,107059834,12806895
106370721,KINDRED HOSPITAL - SAN DIEGO,20164,10/1/16,12/31/16,Open,San Diego,14,1418,Investor - Corp.,Comparable,(619) 543-4500,1940 EL CAJON BOULEVARD,SAN DIEGO,92104,NATALIE GERMUSKA,70,70,70,69,22,1,28,2077,729,90,835,0,0,0,0,11980069,4085117,420509,4850755,0,0,0,0,7142269,0
