facility_id,position,productive_hours,productive_hours_per_patient
106474007,Clerical & Other Administrative,156299,12.23
106344021,Environmental & Food Services,30353,0.72
106121031,Fiscal Services Cost Centers,9747,0.65
106190859,Management & Supervision,103581,1.95
106190782,Aides & Orderlies,27456,1.77
106434153,Registered Nurse,263018,3.2
106105029,Clerical & Other Administrative,79459,5.74
106344029,Clerical & Other Administrative,121505,3.66
106190429,Clerical & Other Administrative,0,0.0
106190256,Management & Supervision,70333,2.05
106361343,Administrative Services Cost Centers,293798,3.1
106342344,Administrative Services Cost Centers,433699,10.24
106214034,Registered Nurse,89200,6.93
106104047,Licensed Vocational Nurse,1233,0.17
106074017,Licensed Vocational Nurse,4311,0.13
106194010,Management & Supervision,13636,0.41
106431506,Technician & Specialist,0,0.0
106531059,Education Cost Centers,0,0.0
106190708,Daily Cost Centers,408269,11.57
106370787,Other,0,0.0
106211006,Technician & Specialist,588855,8.78
106160787,Education Cost Centers,10991,0.76
106190541,Ambulatory Cost Centers,0,0.0
106244027,Fiscal Services Cost Centers,0,0.0
106344188,Other,196,0.07
106071018,Other,30043,0.47
106100717,Contracted Other,8956,0.03
106190782,Aides & Orderlies,0,0.0
106364144,Administrative Services Cost Centers,100135,2.9
106084001,Ambulatory Cost Centers,179401,7.9
106514001,General Services Cost Centers,0,0.0
106010735,Contracted Other,0,0.0
106540734,Administrative Services Cost Centers,644253,2.93
106332172,Contracted Registry Nursing,0,0.0
106374094,Contracted Registry Nursing,0,0.0
106361339,Aides & Orderlies,157638,1.76
106504038,Administrative Services Cost Centers,33243,7.66
106190784,Ancillary Cost Centers,135517,9.01
106430905,Clerical & Other Administrative,2249567,8.96
106301340,Administrative Services Cost Centers,704490,4.74
106164029,Ancillary Cost Centers,629081,6.0
106380939,Contracted Registry Nursing,68804,0.31
106301262,Clerical & Other Administrative,270766,2.01
106304159,Management & Supervision,23036,1.96
106331216,Education Cost Centers,0,0.0
106190631,Licensed Vocational Nurse,47841,0.36
106334025,Aides & Orderlies,91776,1.63
106321016,Clerical & Other Administrative,49379,2.06
106196404,Clerical & Other Administrative,34559,0.4
106281078,Clerical & Other Administrative,212511,6.86
106190784,General Services Cost Centers,87550,3.65
106340947,Other,166532,1.45
106270875,Contracted Other,9568,0.16
106560473,Management & Supervision,275669,3.47
106010887,Environmental & Food Services,32140,1.97
106184008,Other,43,0.0
106332172,Daily Cost Centers,176108,17.32
106190462,Contracted Other,0,0.0
106361274,Education Cost Centers,0,0.0
106334018,Contracted Other,294,0.01
106504038,Technician & Specialist,76172,11.31
106190125,Technician & Specialist,721605,7.37
106340950,Fiscal Services Cost Centers,109755,0.89
106301342,Daily Cost Centers,1229287,8.35
106304113,Administrative Services Cost Centers,15530,1.12
106334018,Administrative Services Cost Centers,68706,2.87
106191014,Clerical & Other Administrative,0,0.0
106281297,Other,0,0.0
106434220,Ambulatory Cost Centers,0,0.0
106301283,Aides & Orderlies,37419,1.15
106110889,Aides & Orderlies,11690,1.73
106344114,General Services Cost Centers,0,0.0
106380842,Ancillary Cost Centers,39901,0.29
106571086,Ancillary Cost Centers,293242,7.29
106394003,Ambulatory Cost Centers,0,0.0
106560838,Technician & Specialist,11386,1.42
106560481,Education Cost Centers,88928,0.91
106190818,Ancillary Cost Centers,381843,8.24
106424002,General Services Cost Centers,0,0.0
106190256,Licensed Vocational Nurse,62424,1.8
106311000,Technician & Specialist,583709,4.68
106190049,Contracted Registry Nursing,6228,0.27
106190196,Education Cost Centers,0,0.0
106380929,Contracted Other,263166,1.15
106370652,Fiscal Services Cost Centers,102957,1.79
106190434,Ancillary Cost Centers,273237,6.1
106420493,Ancillary Cost Centers,584725,5.31
106074097,Management & Supervision,0,0.0
106370673,Education Cost Centers,56211,0.4
106190712,Ancillary Cost Centers,0,0.0
106190197,Licensed Vocational Nurse,15177,1.13
106410852,Licensed Vocational Nurse,26762,0.24
106450949,Management & Supervision,159137,1.89
106370977,Ancillary Cost Centers,308433,3.03
106194010,Administrative Services Cost Centers,8517,0.23
106344114,Contracted Other,0,0.0
106231013,Clerical & Other Administrative,125965,7.93
106371394,General Services Cost Centers,329349,5.62
106361223,Technician & Specialist,0,0.0
106190949,Contracted Other,289483,3.59
106160787,Management & Supervision,62159,4.32
106361768,Clerical & Other Administrative,0,0.0
106190708,Environmental & Food Services,54334,2.03
106231396,Clerical & Other Administrative,280170,8.76
106490964,Technician & Specialist,81666,3.59
106304079,Administrative Services Cost Centers,43908,2.88
106110889,Contracted Other,0,0.0
106010937,Aides & Orderlies,230554,2.17
106491064,Other,10958,0.13
106190470,Management & Supervision,259519,1.95
106331194,Other,0,0.0
106190400,Clerical & Other Administrative,740423,4.5
106380842,Fiscal Services Cost Centers,7081,0.05
106291053,Daily Cost Centers,118734,3.02
106105051,Fiscal Services Cost Centers,0,0.0
106190568,Administrative Services Cost Centers,364205,3.66
106191450,Contracted Registry Nursing,28394,0.55
106196405,Ancillary Cost Centers,262632,4.97
106160725,Education Cost Centers,308,0.0
106540734,Management & Supervision,302319,1.48
106190197,Other,5627,0.29
106010937,Education Cost Centers,415310,4.4
106414018,Other,213,0.16
106400480,Ancillary Cost Centers,249649,9.77
106190462,Contracted Registry Nursing,0,0.0
106540734,Environmental & Food Services,420394,2.36
106341006,Fiscal Services Cost Centers,494040,2.05
106400548,Registered Nurse,304967,8.89
106301098,Contracted Registry Nursing,0,0.0
106301380,Daily Cost Centers,374595,10.37
106014034,General Services Cost Centers,100421,2.87
106380965,Licensed Vocational Nurse,31701,0.52
106342344,Registered Nurse,56033,1.35
106190529,Administrative Services Cost Centers,371353,3.75
106010782,Ancillary Cost Centers,0,0.0
106334048,Ancillary Cost Centers,100823,5.22
106191231,Aides & Orderlies,390786,3.73
106190066,Administrative Services Cost Centers,62972,2.1
106301379,Management & Supervision,80307,1.94
106340913,Fiscal Services Cost Centers,35162,0.82
106444012,Management & Supervision,24358,2.06
106420491,Ancillary Cost Centers,170054,1.79
106361318,Ambulatory Cost Centers,250718,2.61
106430763,Administrative Services Cost Centers,343278,2.59
106450940,Licensed Vocational Nurse,3343,0.09
106100899,Technician & Specialist,1167524,7.31
106331216,Administrative Services Cost Centers,94974,2.38
106301342,Ancillary Cost Centers,1557795,10.98
106071018,Ambulatory Cost Centers,177069,2.52
106301262,Other,231789,1.72
106190661,Licensed Vocational Nurse,65454,1.08
106300032,Education Cost Centers,251629,2.93
106500867,Ancillary Cost Centers,436446,2.85
106190958,Contracted Registry Nursing,0,0.0
106190818,Environmental & Food Services,0,0.0
106121002,Clerical & Other Administrative,213905,8.98
106410852,Aides & Orderlies,135766,1.19
106171395,Environmental & Food Services,58963,3.15
106370721,Administrative Services Cost Centers,48538,2.66
106231013,Registered Nurse,107015,6.21
106300225,Other,53704,0.76
106010735,Aides & Orderlies,179839,1.87
106190681,Licensed Vocational Nurse,0,0.0
106196168,Daily Cost Centers,1175366,11.99
106301566,Contracted Registry Nursing,25347,0.55
106190280,Ambulatory Cost Centers,35549,1.47
106370755,Environmental & Food Services,314774,1.99
106410806,Environmental & Food Services,0,0.0
106194981,Administrative Services Cost Centers,7094,1.25
106190200,Daily Cost Centers,683706,8.47
106190541,Technician & Specialist,60442,4.55
106150788,Ambulatory Cost Centers,233091,2.51
106190859,Clerical & Other Administrative,90808,1.71
106190449,Environmental & Food Services,91055,1.58
106190434,Administrative Services Cost Centers,654837,14.21
106210993,Management & Supervision,40679,2.12
106560492,Fiscal Services Cost Centers,11684,0.1
106361308,Daily Cost Centers,701451,8.52
106560203,Ambulatory Cost Centers,4440,0.19
106370787,Environmental & Food Services,44210,2.64
106190468,Environmental & Food Services,144748,2.94
106040875,Education Cost Centers,0,0.0
106301132,Fiscal Services Cost Centers,0,0.0
106281078,Contracted Registry Nursing,6573,0.21
106240924,Ancillary Cost Centers,107966,6.24
106434051,Daily Cost Centers,90954,9.89
106190878,Administrative Services Cost Centers,308120,2.35
106070990,Other,1751642,26.85
106331164,Aides & Orderlies,227952,2.17
106191231,Ancillary Cost Centers,873800,7.11
106190052,Ancillary Cost Centers,119883,4.78
106190066,Licensed Vocational Nurse,25217,0.84
106560492,Clerical & Other Administrative,142605,1.47
106361144,Environmental & Food Services,82755,3.5
106190883,Licensed Vocational Nurse,26121,0.5
106190568,Registered Nurse,767729,7.72
106013687,Ambulatory Cost Centers,0,0.0
106374024,Other,0,0.0
106560481,Administrative Services Cost Centers,293447,3.37
106560203,Ambulatory Cost Centers,4777,0.2
106090933,Contracted Registry Nursing,9506,0.18
106210993,Management & Supervision,224366,11.09
106110889,Daily Cost Centers,27222,4.12
106334068,Daily Cost Centers,890442,10.09
106190200,Education Cost Centers,0,0.0
106121031,Education Cost Centers,0,0.0
106574010,Environmental & Food Services,46119,2.53
106191216,Education Cost Centers,0,0.0
106190468,Licensed Vocational Nurse,103180,2.21
106560481,Environmental & Food Services,267644,2.69
106190555,Environmental & Food Services,1323958,3.62
106371256,Administrative Services Cost Centers,199150,3.61
106361323,Other,94657,0.94
106440755,Clerical & Other Administrative,296967,3.49
106364050,Ambulatory Cost Centers,28402,0.99
106301155,Technician & Specialist,142264,3.5
106190380,Technician & Specialist,129507,3.12
106344011,Technician & Specialist,0,0.0
106250956,Daily Cost Centers,111349,2.45
106364188,Other,0,0.0
106190756,Registered Nurse,694813,9.89
106190125,Registered Nurse,779556,7.85
106301357,Registered Nurse,64738,4.23
106270777,Environmental & Food Services,66051,1.16
106104023,Clerical & Other Administrative,15923,0.85
106410806,Management & Supervision,0,0.0
106190298,Administrative Services Cost Centers,41693,1.36
106300032,Other,199501,2.32
106514033,Aides & Orderlies,0,0.0
106410891,Technician & Specialist,344245,7.39
106196035,Clerical & Other Administrative,0,0.0
106370977,Aides & Orderlies,253398,2.32
106480989,Aides & Orderlies,139550,2.56
106190475,Administrative Services Cost Centers,77249,2.58
106424002,Clerical & Other Administrative,6480,1.23
106190455,Administrative Services Cost Centers,101556,2.48
106440755,Environmental & Food Services,62632,0.76
106084001,Administrative Services Cost Centers,62382,3.11
106450940,Contracted Registry Nursing,1402,0.03
106160702,Contracted Other,1803,0.18
106196035,General Services Cost Centers,692775,17.3
106370745,Clerical & Other Administrative,74934,1.25
106380842,Contracted Registry Nursing,0,0.0
106484044,Contracted Registry Nursing,26187,1.52
106301175,Licensed Vocational Nurse,25022,0.21
106190298,Fiscal Services Cost Centers,40803,1.34
106060870,Other,18908,2.03
106010735,Technician & Specialist,173564,3.8
106010987,Management & Supervision,222324,2.72
106500939,Technician & Specialist,793499,6.25
106370689,Education Cost Centers,0,0.0
106444013,Fiscal Services Cost Centers,76071,2.48
106481015,Administrative Services Cost Centers,18533,0.8
106190148,Fiscal Services Cost Centers,121399,1.45
106190529,Clerical & Other Administrative,415189,4.2
106304159,Administrative Services Cost Centers,24570,2.49
106361266,Clerical & Other Administrative,66603,2.74
106314029,Registered Nurse,8266,1.92
106301155,Ambulatory Cost Centers,48766,1.21
106194219,Clerical & Other Administrative,895269,9.45
106190163,Ancillary Cost Centers,0,0.0
106201281,Technician & Specialist,237768,4.81
106410806,Administrative Services Cost Centers,341614,13.81
106201281,Clerical & Other Administrative,297551,7.42
106381154,Registered Nurse,3223691,11.69
106300225,Contracted Registry Nursing,36707,0.53
106014034,Technician & Specialist,173246,4.83
106560481,Fiscal Services Cost Centers,57331,0.58
106491064,General Services Cost Centers,454295,5.91
106350784,Daily Cost Centers,244963,2.47
106560501,Management & Supervision,48723,1.08
106304159,Environmental & Food Services,0,0.0
106410806,Clerical & Other Administrative,0,0.0
106580996,Ancillary Cost Centers,690029,7.98
106331216,Environmental & Food Services,12764,0.3
106105051,Technician & Specialist,0,0.0
106040802,Clerical & Other Administrative,63679,2.29
106574010,Contracted Other,10020,0.48
106514001,Daily Cost Centers,0,0.0
106344021,Licensed Vocational Nurse,13012,0.31
106190930,Clerical & Other Administrative,36658,1.27
106340913,Administrative Services Cost Centers,367928,8.58
106491001,Ancillary Cost Centers,162313,8.94
106190052,Environmental & Food Services,31900,1.26
106010887,Contracted Other,373,0.02
106196168,Contracted Registry Nursing,10839,0.11
106301098,Registered Nurse,669610,8.3
106231013,Fiscal Services Cost Centers,60250,3.79
106310791,Contracted Registry Nursing,10575,0.41
106481015,General Services Cost Centers,46293,2.09
106574010,Contracted Other,451,0.02
106010858,Licensed Vocational Nurse,33999,0.54
106231396,General Services Cost Centers,164781,5.93
106191227,Ambulatory Cost Centers,1219680,6.85
106184008,Ancillary Cost Centers,98227,8.03
106371394,Administrative Services Cost Centers,274564,4.68
106050932,Ancillary Cost Centers,120861,8.61
106100717,Aides & Orderlies,1189350,3.66
106331164,Technician & Specialist,577356,5.49
106190696,Fiscal Services Cost Centers,54311,0.87
106382715,Ancillary Cost Centers,132300,4.41
106010782,Technician & Specialist,17640,1.78
106190859,Ambulatory Cost Centers,85505,1.47
106190541,Other,7314,0.77
106194967,Aides & Orderlies,9401,1.74
106361308,Fiscal Services Cost Centers,101340,1.2
106190392,Education Cost Centers,19990,0.25
106380939,Registered Nurse,1732167,7.83
106190857,Other,6344,0.48
106301283,Aides & Orderlies,41071,1.23
106301340,Education Cost Centers,31077,0.21
106100717,Technician & Specialist,1519114,4.48
106370744,General Services Cost Centers,816338,4.51
106370787,Ancillary Cost Centers,124569,3.86
106150775,Technician & Specialist,81991,3.83
