facility_id,position,productive_hours,productive_hours_per_patient
106190159,Daily Cost Centers,144354,7.61
106190517,Other,52783,0.68
106281047,Fiscal Services Cost Centers,124125,1.94
106391056,Other,0,0.0
106074039,Aides & Orderlies,0,0.0
106430779,Fiscal Services Cost Centers,13648,0.12
106050932,Clerical & Other Administrative,94920,7.42
106332172,Registered Nurse,36678,3.05
106040937,Management & Supervision,143024,2.45
106190150,Management & Supervision,64302,1.14
106074017,Registered Nurse,350242,10.2
106454013,Technician & Specialist,11219,4.91
106301566,Administrative Services Cost Centers,201669,3.73
106434218,Registered Nurse,2386,0.34
106540816,Education Cost Centers,0,0.0
106190782,Contracted Registry Nursing,7899,0.51
106190110,Ambulatory Cost Centers,79989,1.01
106560481,Environmental & Food Services,267644,2.69
106370721,Technician & Specialist,52847,3.02
106190541,Administrative Services Cost Centers,38880,2.71
106154101,Contracted Other,110309,4.69
106291023,Contracted Other,11275,0.26
106334025,Fiscal Services Cost Centers,49146,1.07
106484044,Clerical & Other Administrative,0,0.0
106154160,Aides & Orderlies,4415,67.92
106380857,Licensed Vocational Nurse,32902,0.58
106150737,Fiscal Services Cost Centers,29438,0.52
106304079,Licensed Vocational Nurse,19228,1.25
106340947,Environmental & Food Services,247758,2.16
106491267,Aides & Orderlies,0,0.0
106430905,Technician & Specialist,2537388,10.83
106301205,Administrative Services Cost Centers,699591,3.37
106190170,Licensed Vocational Nurse,75615,0.58
106190200,Environmental & Food Services,0,0.0
106301127,Daily Cost Centers,228543,8.86
106190754,Licensed Vocational Nurse,145933,0.96
106190049,Environmental & Food Services,41607,1.89
106454012,Ancillary Cost Centers,58312,2.08
106344029,Licensed Vocational Nurse,4242,0.12
106190661,Registered Nurse,183478,3.45
106394009,Registered Nurse,509235,15.46
106050932,Ancillary Cost Centers,117222,9.16
106370787,Administrative Services Cost Centers,62769,1.95
106390923,Daily Cost Centers,418647,8.54
106574010,Management & Supervision,42935,2.43
106560492,Ambulatory Cost Centers,107781,1.05
106450940,Ambulatory Cost Centers,96191,2.47
106361458,General Services Cost Centers,30634,6.93
106434040,Contracted Other,54537,0.49
106434220,Contracted Registry Nursing,0,0.0
106364121,Administrative Services Cost Centers,48853,3.52
106190782,Management & Supervision,972776,61.37
106190681,Licensed Vocational Nurse,0,0.0
106190049,Licensed Vocational Nurse,51404,2.33
106190196,Aides & Orderlies,77326,3.24
106190352,Administrative Services Cost Centers,61807,2.44
